"","Venue","Season","Date","Year","Month","Opp","W/L","HomeScore","AwayScore","HomeFGmade","HomeFGattempted","HomeFGpct","Home3ptmade","Home3ptattempted","Home3ptpct","HomeFreeThrowsMade","HomeFreeThrowsAttempted","HomeFreeThrowPct","HomeOffensiveRebounds","HomeTotalRebounds","HomeAssists","HomeSteals","HomeBlocks","HomeTurnovers","HomeFouls","AwayFGmade","AwayFGattempted","AwayFGpct","Away3ptmade","Away3ptattempted","Away3ptpct","AwayFreeThrowsMade","AwayFreeThrowsAttempted","AwayFreeThrowPct","AwayOffensiveRebounds","AwayTotalRebounds","AwayAssists","AwaySteals","AwayBlocks","AwayTurnovers","AwayFouls"
"12","ILL","2021","2022-01-06","2022","01","Maryland","1",76,64,28,68,0.412,8,30,0.267,12,18,0.667,17,41,9,4,2,6,13,23,50,0.46,6,16,0.375,12,20,0.6,4,26,9,5,2,7,15
"13","ILL","2021","2022-01-14","2022","01","Michigan","1",68,53,22,47,0.468,6,20,0.3,18,21,0.857,9,30,11,2,2,13,14,22,60,0.367,1,10,0.1,8,14,0.571,15,30,5,7,1,11,20
"14","ILL","2021","2022-01-17","2022","01","Purdue","0",88,96,32,77,0.416,12,33,0.364,12,15,0.8,5,35,15,5,2,6,23,31,68,0.456,8,18,0.444,26,32,0.813,9,42,13,3,3,12,15
"15","ILL","2021","2022-01-25","2022","01","Michigan State","1",56,55,22,53,0.415,9,29,0.31,3,7,0.429,4,25,14,2,2,6,17,19,55,0.345,3,14,0.214,14,17,0.824,11,38,9,5,6,10,15
"16","ILL","2021","2022-02-02","2022","02","Wisconsin","1",80,67,32,62,0.516,7,22,0.318,9,18,0.5,7,35,21,5,2,6,14,26,68,0.382,3,24,0.125,12,15,0.8,12,38,8,3,0,6,19
"17","ILL","2021","2022-02-13","2022","02","Northwestern","1",73,66,25,58,0.431,10,29,0.345,13,19,0.684,8,43,15,7,3,19,14,24,62,0.387,7,24,0.292,11,18,0.611,3,27,10,12,2,13,22
"18","ILL","2021","2022-02-24","2022","02","Ohio State","0",83,86,30,63,0.476,12,25,0.48,11,17,0.647,7,24,15,7,0,9,22,27,52,0.519,6,12,0.5,26,32,0.813,4,27,7,3,5,11,18
"19","ILL","2021","2022-03-03","2022","03","Penn State","1",60,55,18,50,0.36,9,28,0.321,15,17,0.882,9,28,11,6,3,8,9,23,55,0.418,8,25,0.32,1,3,0.333,4,27,8,4,0,9,17
"20","ILL","2021","2022-03-06","2022","03","Iowa","1",74,72,26,62,0.419,8,22,0.364,14,18,0.778,10,38,16,2,5,11,19,27,62,0.435,8,21,0.381,10,22,0.455,10,34,13,5,4,10,19
"21","ILL","2022","2022-12-10","2022","12","Penn State","0",59,74,23,52,0.442,7,23,0.304,6,12,0.5,7,31,11,4,4,11,11,27,54,0.5,12,24,0.5,8,10,0.8,3,25,13,9,1,9,15
"22","ILL","2022","2023-01-07","2023","01","Wisconsin","1",79,69,25,53,0.472,10,19,0.526,19,26,0.731,7,37,14,5,6,10,14,28,64,0.438,8,29,0.276,5,12,0.417,10,34,12,6,2,9,21
"23","ILL","2022","2023-01-13","2023","01","Michigan State","1",75,66,27,60,0.45,6,18,0.333,15,18,0.833,8,29,11,4,10,5,10,28,65,0.431,0,7,0,10,13,0.769,12,39,4,2,2,9,17
"24","ILL","2022","2023-01-19","2023","01","Indiana","0",65,80,24,62,0.387,8,19,0.421,9,23,0.391,12,25,7,11,2,8,8,34,55,0.618,3,9,0.333,9,13,0.692,6,32,13,4,6,14,19
"25","ILL","2022","2023-01-24","2023","01","Ohio State","1",69,60,24,59,0.407,5,28,0.179,16,18,0.889,13,42,13,4,6,10,20,22,60,0.367,4,10,0.4,12,20,0.6,8,24,8,6,3,6,16
